year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,exp_to_gdp,res_rents
1997,FRA,0.0256933612436773,0.0109464837364268,0.118174640900722,0.137677252547965,,
1998,FRA,0.0224709665887662,0.00872424834681691,0.109624675757086,0.126075833201935,,
1999,FRA,0.0207313748997754,0.00896453652821664,0.102852545515696,0.119351377110386,,
2000,FRA,0.0220862877863413,0.013721591113293,0.0940352319897648,0.114928700888151,,
2001,FRA,0.0215920927339369,0.0120819308881487,0.0902915164474541,0.10923033289784,,
2002,FRA,0.0199411417231465,0.0107417921747445,0.0923689609313343,0.109650003886521,,
2003,FRA,0.0193129956986985,0.0128639281792189,0.0969061249957292,0.115975518264842,,
2004,FRA,0.0226980184883373,0.0145223038740581,0.0948712120346296,0.116176056898563,,
2005,FRA,0.0237169882710911,0.0219625251864532,0.0923537890889954,0.122097421291289,53.9807067764121,0.0430576028312916
2006,FRA,0.0281484779594557,0.0245562220604362,0.0926769459350397,0.124117642931864,56.1034244496256,0.049204908546063
2007,FRA,0.0263530607890972,0.0229647547263687,0.0961047593035732,0.123720939852053,56.420756583014,0.0514929297824416
2008,FRA,0.0259308969452532,0.0290250303940362,0.0994831905274721,0.134710972419533,57.3970828857949,0.0549061703496859
2009,FRA,0.0186318458916108,0.0204370236267742,0.100094400958258,0.124442400145015,50.462450850073,0.0509689949804189
2010,FRA,0.0240835295861806,0.0210721127498978,0.101459357977501,0.127077828588676,54.8677910818934,0.0554301644894013
2011,FRA,0.0280504836260491,0.0248463778129978,0.108062209304513,0.1387798943419,58.7905764224005,0.0548032506316159
2012,FRA,0.0269245732022167,0.0250701122805057,0.104696694259478,0.134571085430638,,
2013,FRA,0.0232358317433299,0.0221771025051347,0.105272207393764,0.132130500325417,,
2014,FRA,0.0216583756508134,0.0206871483299489,0.100370871110412,0.125882188603259,,
2015,FRA,0.020686264988359,0.0153013058489972,0.0978222847069085,0.117967885853037,,
2016,FRA,0.01870225787033,0.0124385806228379,0.0968815909374654,0.112747609992691,,
1962,FRA,0.0554696619750945,0.032795817107303,0.21801887411897,0.256516021365191,,
1963,FRA,0.0514910670651513,0.0319238901190734,0.229244826714793,0.266452923437928,,
1964,FRA,0.0520914479395672,0.0307891114831177,0.232052688145305,0.266803177495955,,
1965,FRA,0.056806050067589,0.0286783828437936,0.222462509550719,0.255358719366224,,
1966,FRA,0.0542172195816607,0.0305081649105863,0.220653810179605,0.254607522763947,,
1967,FRA,0.0515431764256374,0.0276005163431653,0.216152016057588,0.247365438020129,,
1968,FRA,0.0520441130203759,0.0236674986634892,0.225533772813657,0.252561924893847,,
1969,FRA,0.0512460796130151,0.0200989844620227,0.227378636485466,0.252476903237854,,
1970,FRA,0.0516037371638095,0.0172212105062284,0.206558784435527,0.229150337038964,,
1971,FRA,0.0413582411577271,0.0185805944129001,0.217092262670247,0.240218655492081,,
1972,FRA,0.0409733625577246,0.0179021402979513,0.226818308544639,0.250251818935277,,
1973,FRA,0.0415120117199364,0.0180108830613439,0.234941175804099,0.257329503980928,,
1974,FRA,0.0490486015920181,0.0256964036927385,0.223617097753964,0.252472183447457,,
1975,FRA,0.0370308799007109,0.0250105207462826,0.194568939314487,0.222733734832195,,
1976,FRA,0.0380626906234538,0.0268508309558755,0.193517234214431,0.223957531897822,,
1977,FRA,0.0376850223923772,0.0284466829142344,0.182989229519747,0.214348722818513,,
1978,FRA,0.0336413161546974,0.0260345348251704,0.192892205595205,0.221031420926296,,
1979,FRA,0.0358955193154196,0.0366903080879901,0.186243704750898,0.225732399526287,,
1980,FRA,0.030990294905147,0.0275176794761655,0.14058427066939,0.170251643539507,,
1981,FRA,0.0265687783663926,0.0302933729920593,0.142659452683355,0.176060114296409,,
1982,FRA,0.0232025891405419,0.0251014255493305,0.137478081446324,0.165040862379904,,
1983,FRA,0.026352162830944,0.0242392795821707,0.145094800527642,0.173028350793812,,
1984,FRA,0.0302831544351038,0.0213830689761984,0.145155318545312,0.171996793847831,,
1985,FRA,0.0286815068845186,0.0226809807304849,0.143532249739684,0.171822476176081,,
1986,FRA,0.025909415993154,0.0133686880679419,0.140043118849776,0.159993708327917,,
1987,FRA,0.0253516866361277,0.0103221490361489,0.139515487498458,0.156279157714196,,
1988,GBR,0.0284145603445623,0.0547850055685616,0.0684420774653964,0.124144353900957,,
1989,GBR,0.0301628918319502,0.0502624475584362,0.0710002489790982,0.122205619521986,,
1990,GBR,0.0301130058081584,0.0589708446728006,0.0678200223719405,0.127869001873259,,
1991,GBR,0.0271183281188201,0.0565367941955897,0.0679506857217098,0.125251155272403,,
1992,GBR,0.0264764447862987,0.0484560696667964,0.0756302028875403,0.124617966757142,,
1993,GBR,0.0243100976423913,0.0466534352240925,0.0684834750551338,0.115914999573241,,
1994,GBR,0.0261728429480746,0.0475863264358227,0.0708834468000114,0.118950002917543,,
1995,GBR,0.0259798290003409,0.0492658610444918,0.0681023409462051,0.117828283194124,,
1996,GBR,0.0223957225930491,0.0532708650957308,0.0616614847528512,0.115359570918505,,
1997,GBR,0.0251382369228902,0.0440480511147498,0.0601511807741508,0.104667490847971,,
1998,GBR,0.0205376645713402,0.030088672886153,0.0550296818908038,0.0854641651092463,,
1999,GBR,0.0187274643361123,0.0409725574117622,0.0480921966815948,0.0894280961412642,,
2000,GBR,0.022389751314064,0.062627874487081,0.0451821555601482,0.10832987927677,,
2001,GBR,0.0236528266787754,0.0577533381081217,0.0425857514585374,0.101571339371972,,
2002,GBR,0.0180270704359016,0.0536907684744816,0.0447755531335719,0.09957239798858,,
2003,GBR,0.0172525107589958,0.0533279291354245,0.0474711443083481,0.101835950181502,,
2004,GBR,0.0212308820178223,0.0537042558330721,0.0462520047159685,0.100800787145228,,
2005,GBR,0.0223082621836745,0.0617381610082573,0.0422505396365061,0.105868738803541,51.9389982299302,0.912803613825384
2006,GBR,0.0219826431824803,0.0602996874457943,0.0407954297436909,0.101693457716292,55.8255064283689,0.964036039693142
2007,GBR,0.0270062536730188,0.0643873312602352,0.0440261393390619,0.109129331948616,52.2020871229008,0.868951914781397
2008,GBR,0.0306729557597224,0.0785168580125139,0.0465612461203388,0.126248087745894,56.4678940798122,1.23925845103441
2009,GBR,0.0221651460206551,0.0597512182613559,0.0475747817994106,0.109318317812764,54.4446812628143,0.827229731048932
2010,GBR,0.0294289221029804,0.0755630472382796,0.0515695395240539,0.128389070746687,59.0339627705195,0.878058031577623
2011,GBR,0.0322855080101184,0.0785158057116282,0.0520014826095806,0.131532116616116,62.560013014797,1.07004919780047
2012,GBR,0.0300736671877435,0.0799324765338971,0.0507344446035409,0.131484555048426,,
2013,GBR,0.0888840128155251,0.0704223895129071,0.0467765517161265,0.117856007089814,,
2014,GBR,0.0566240138034315,0.0636363977251464,0.0481927255025931,0.112336821518485,,
2015,GBR,0.0580867308316604,0.0413112108721438,0.0461858545804084,0.0879190791370024,,
2016,GBR,0.0363888108057606,0.0349226865633108,0.0481405684494535,0.0835015808673411,,
1962,GBR,0.0542646382794476,0.0297576986593959,0.111552633456845,0.14952085938362,,
1963,GBR,0.0540163320400587,0.0277661662521428,0.108515959389624,0.148029280958218,,
1964,GBR,0.052693670346101,0.0239509595319049,0.109922622187268,0.142695339994094,,
1965,GBR,0.0545367503012082,0.0229848141903663,0.106393227761999,0.135175684568209,,
1966,GBR,0.0554142951599047,0.0222143972922708,0.108689993637354,0.135577093649028,,
1967,GBR,0.0573637361766769,0.0226289321172537,0.108104050506923,0.134052030115596,,
1968,GBR,0.0602872177363457,0.0238767970005012,0.107092140470663,0.134758181537161,,
1969,GBR,0.0610797363570704,0.0211914755122834,0.101318242917469,0.126366041377776,,
1970,GBR,0.0604679480778477,0.0227495561043257,0.100422139091279,0.127285296734705,,
1971,GBR,0.0451433023851828,0.0240233954898107,0.0956391888887496,0.122495935074852,,
1972,GBR,0.0489312508007564,0.0233711600160743,0.101498144781537,0.126927965362726,,
1973,GBR,0.0548809936156582,0.0281041739787671,0.106697744692745,0.137275535109633,,
1974,GBR,0.0583927633708986,0.0444095097831632,0.101408455393595,0.150199963696541,,
1975,GBR,0.043547399419752,0.0377633097203128,0.102745043107785,0.145175871085996,,
1976,GBR,0.0427213158544781,0.0466103739928105,0.0979915913384242,0.147873303161231,,
1977,GBR,0.0397573856745723,0.0619489126556418,0.0972496741251106,0.1619494741169,,
1978,GBR,0.0366485936593581,0.0634224298206517,0.10494762580737,0.17088310543217,,
1979,GBR,0.0441282204161791,0.103216390010794,0.100749577641007,0.206569808374332,,
1980,GBR,0.0416803491382975,0.0971779460218908,0.0730284387203021,0.173014521453316,,
1981,GBR,0.0386390617612389,0.140873791367091,0.0740071529712987,0.220545042262104,,
