year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,trade_to_gdp,exp_to_gdp,imp_to_gdp,exp_minus_imp,res_rents
1962,AUT,0.0287299530043709,0.00696820981811298,0.253786799200305,0.260936001481226,45.6180901534569,23.4163731876468,22.2017169658101,1.2146562218367,
1962,BEL,0.0986067974778897,0.0235617815109944,0.130287141425903,0.169174418234148,81.1576432460471,40.5730913202231,40.584551925824,-0.0114606056009023,
1962,DEU,0.0725249061361387,0.0133734047423869,0.0520086526849684,0.106816542828459,,,,,
1962,DNK,0.00982461175341239,0.00552835430949383,0.620355205114439,0.626489092973832,61.1243865612386,28.6194585200142,32.5049280412244,-3.8854695212102,
1962,ESP,0.0555891251459043,0.045245928702423,0.688080773020067,0.739007311350954,18.4227807217947,8.30365360888558,10.1191271129091,-1.81547350402352,
1962,FIN,0.0199080486218356,8.51811371349933e-05,0.524100730566532,0.5243518489838,41.3582384698107,19.9202838835224,21.4379545862883,-1.5176707027659,
1962,FRA,0.0492786108031905,0.0262705271569722,0.223502891649613,0.253049024991848,24.9498746402477,12.8329879563643,12.1168866838833,0.716101272481001,
1962,GBR,0.0566195871574413,0.0283284892349488,0.10245256542718,0.140586072354682,39.0443735638117,19.4231000587726,19.6212735050391,-0.198173446266498,
1962,GRC,0.0513670734852907,0.00124557092627035,0.864276890077517,0.865522461003788,25.3969577561724,9.06245284038361,16.3345049157888,-7.27205207540519,
1962,HUN,0.0199492676540381,0.0309903717644492,0.486621389411669,0.51906827046341,,,,,
1962,IRL,0.0137850924241257,0.0152331395360323,0.673229303100164,0.693185881441884,66.7473499184124,29.908390537866,36.8389593805464,-6.9305688426804,
1962,ITA,0.0110203151071552,0.0510213859895857,0.208346551153015,0.260321957403102,25.8755409575001,12.6705820051651,13.204958952335,-0.5343769471699,
1962,NLD,0.0423921214135873,0.0894019989260306,0.323128932349102,0.433882465741606,91.4720077914338,45.9426042281739,45.5294035632599,0.413200664914001,
1962,POL,0.141078357241022,0.0210670979065365,0.552327389067039,0.689527531096553,,,,,
1962,PRT,0.0239265308806531,0.0120770808620633,0.454272757393576,0.466491475224912,34.2253828493223,15.2621014208003,18.963281428522,-3.7011800077217,
1962,SWE,0.147845037619067,0.00171674919056648,0.370036902484377,0.372522377200595,43.2973363185707,21.9048553694439,21.3924809491268,0.512374420317102,
1963,AUT,0.0261686534654694,0.00641882877124613,0.207060168665877,0.21377375936257,46.2846929359315,23.4268110207149,22.8578819152166,0.568929105498302,
1963,BEL,0.101369408673134,0.0289009166414286,0.140020458762793,0.183798736096256,84.3825837561852,41.7125390253489,42.6700447308363,-0.957505705487399,
1963,DEU,0.071050314232907,0.0150985624678986,0.0546813736144022,0.111485957185893,,,,,
1963,DNK,0.00823343326047205,0.00545647648031284,0.604897512431348,0.611276934586158,61.1942486568197,30.4029648010097,30.79128385581,-0.388319054800302,
1963,ESP,0.0527777692897674,0.0398532456963241,0.657949819561876,0.705278286209598,18.4923453291345,7.71228856854201,10.7800567605925,-3.06776819205049,
1963,FIN,0.0250489848417459,0.000189928956953443,0.450916186835599,0.451263989229345,38.4806586956932,19.0730336089066,19.4076250867866,-0.33459147788,
1963,FRA,0.0452526192770744,0.0259057566417863,0.230233926804093,0.258498785642271,25.0628561336022,12.5957667651555,12.4670893684467,0.128677396708799,
1963,GBR,0.0545013161550705,0.0277882241225991,0.104605323498572,0.146239227268428,39.0464984503246,19.3240440726467,19.7224543776779,-0.398410305031199,
1963,GRC,0.0490783183423641,0.00122823029657351,0.85949656129446,0.860819792829442,26.7330632895555,9.35047759431657,17.3825856952389,-8.03210810092233,
1963,HUN,0.0277183715537233,0.0396869363566091,0.502128961607833,0.552779567121876,,,,,
1963,IRL,0.010646218775032,0.0105491783321042,0.675336201025453,0.690624481715816,69.7259674219202,31.115618265564,38.6103491563561,-7.4947308907921,
1963,ITA,0.0102619365855831,0.0525929620605584,0.189141204841112,0.242493861898777,26.5084657772743,12.1648892158775,14.3435765613968,-2.1786873455193,
1963,NLD,0.0420595855756454,0.0868330217172444,0.322911367225429,0.430639303124819,92.7452941601509,46.0326918446597,46.7126023154912,-0.679910470831501,
1963,POL,0.181247737420056,0.0214167394087751,0.505647242825957,0.686564310553692,,,,,
1963,PRT,0.011293212159085,0.0146335213287507,0.41153238369048,0.426264810539732,35.8807446539982,15.9371365738793,19.9436080801189,-4.0064715062396,
1963,SWE,0.138112618956086,0.00215713603254419,0.368240155350876,0.370981914068577,43.4608716676719,21.9423378540379,21.518533813634,0.423804040403898,
1964,AUT,0.0299512724123249,0.00529198342024724,0.191894990047054,0.199611343811524,46.9855812470221,23.3993989196795,23.5861823273426,-0.1867834076631,
1964,BEL,0.104866467493338,0.0246580815057248,0.129746096286067,0.166938981292126,85.3268781038424,42.4975544033319,42.8293237005105,-0.331769297178603,
1964,DEU,0.0649535153547992,0.0140751637359547,0.0555754651947887,0.104245244141508,,,,,
1964,DNK,0.00881857499691625,0.00788188448254595,0.580790520537807,0.589464062692735,62.4801730870475,29.8521605315621,32.6280125554854,-2.7758520239233,
1964,ESP,0.0503111764160674,0.0302996290032236,0.657029933989274,0.698416099712505,20.1953893064895,8.81175933993521,11.3836299665543,-2.57187062661909,
1964,FIN,0.0336723399752323,0.000128700496783918,0.472139917460081,0.472638989386499,40.1685661285452,18.969808468418,21.1987576601272,-2.2289491917092,
1964,FRA,0.0463714796509785,0.0251614284910171,0.237181338254708,0.264446074984798,25.6863055867558,12.6368545647088,13.049451022047,-0.4125964573382,
