year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,trade_to_gdp,exp_to_gdp,imp_to_gdp,exp_minus_imp,res_rents
1988,AUT,0.044767852974728,0.00327679875419497,0.0878798881791265,0.100750211682842,66.562550344062,33.0709262043675,33.4916241396946,-0.420697935327098,0.220367781337622
1989,AUT,0.0439346448874148,0.00356917884443529,0.0899647128372986,0.102110834202034,70.5383587945509,35.0152027446799,35.5231560498709,-0.507953305191002,0.281822839589139
1990,AUT,0.0383185741276353,0.00387052539779017,0.0854323608560707,0.0971350439826145,71.4883694819226,35.6974146503071,35.7909548316155,-0.0935401813083985,0.266832290358699
1991,AUT,0.037178700289077,0.00348415121968123,0.0778939487081291,0.0900436105973578,70.0484058928522,34.5904880807681,35.4579178120841,-0.867429731316001,0.170652102312699
1992,AUT,0.0342897693968654,0.00394753825569185,0.0754453114238779,0.087116593303002,67.6301674653756,33.1552676574191,34.4748998079566,-1.31963215053749,0.127470663900506
1993,AUT,0.0349391327849638,0.00414184110662899,0.0755422050610798,0.088514578225474,63.2650504915528,31.4638980106592,31.8011524808936,-0.337254470234399,0.12482500752552
1994,AUT,0.036666632257511,0.00522357975829217,0.080758273640223,0.0953928582148526,65.9870933378821,32.1585338854777,33.8285594524044,-1.6700255669267,0.124230025102666
1995,AUT,0.0360278823586772,0.00458485441758378,0.0832298503509076,0.0943476779823398,68.25660110272,33.5331403455378,34.7234607571822,-1.1903204116444,0.115815619676536
1996,AUT,0.0354045094118721,0.00635622486036381,0.0828499792811273,0.0962085663941991,70.0836711206827,34.2492761073574,35.8343950133252,-1.5851189059678,0.140312287132877
1997,AUT,0.0347667553139239,0.00731599037206753,0.0860218461206848,0.0995977503403372,74.8676902155828,37.0280827384957,37.8396074770871,-0.811524738591402,0.126540751766101
1998,AUT,0.032632437902054,0.00603821543506043,0.0849236310479106,0.0964149401504296,76.9271493915785,38.351021186462,38.5761282051164,-0.225107018654398,0.0866576811838644
1999,AUT,0.028608324133497,0.00680911058061863,0.0920583490421909,0.104482704817126,78.2601403439716,39.3570378852981,38.9031024586734,0.453935426624696,0.092331669045915
2000,AUT,0.0353629037799784,0.00657609604392497,0.0822958516871431,0.0940974851883297,85.3604956179232,43.3462739519887,42.0142216659345,1.3320522860542,0.149526500506168
2001,AUT,0.0368720316882473,0.00696869529218961,0.0836715237498584,0.101899980330338,87.5366647639352,44.6175555179483,42.9191092459869,1.69844627196139,0.153732617528908
2002,AUT,0.0391955560389823,0.00668778506686264,0.0852993048600265,0.106085588632696,86.9481679996606,45.31938619858,41.6287818010806,3.6906043974994,0.155418517410194
2003,AUT,0.037887884332449,0.00734486094248145,0.0899379071613256,0.110722712956021,86.3873824162825,44.57041471914,41.8169676971425,2.7534470219975,0.153222954540554
2004,AUT,0.0415948539560549,0.00861326049805031,0.0883469091139386,0.112730685415663,90.7923456929297,46.8672149740213,43.9251307189084,2.9420842551129,0.129704189664988
2005,AUT,0.0429527750696684,0.00864715593563269,0.0659420824795523,0.0982152057626273,94.0338056833054,48.6197522046932,45.4140534786122,3.205698726081,0.164167152492918
2006,AUT,0.0526802979637239,0.00814663931981396,0.0671016875355761,0.103438194179855,98.0883112053436,50.8416688618235,47.2466423435202,3.5950265183033,0.202262416920394
2007,AUT,0.0316890828444419,0.00972475550694097,0.0701411089569962,0.086310202160066,100.733254061926,52.560869422371,48.172384639555,4.388484782816,0.230296407635061
2008,AUT,0.0320434940410444,0.0127744923540918,0.071357693536765,0.0907186086882589,102.073682731706,53.2488606164087,48.8248221152974,4.4240385011113,0.259829789850987
2009,AUT,0.0303732402305968,0.0130537535180809,0.0738045628563171,0.0939793762975562,87.0622309742796,45.2074165608437,41.8548144134358,3.3526021474079,0.169947981348026
2010,AUT,0.0379429525640962,0.0133516773107269,0.0740866280605796,0.0948589225210882,99.0197962369563,51.2621603273359,47.7576359096203,3.5045244177156,0.215220189238034
2011,AUT,0.0402426778357485,0.0177633727884712,0.0755882392297357,0.0999441353799078,105.102788629725,53.9486708516394,51.154117778086,2.7945530735534,0.255913557275351
2012,AUT,0.0392702935238128,0.0214829772494716,0.0727810516486323,0.101682172343312,105.152177427838,53.9736761965302,51.1785012313079,2.7951749652223,0.256167402089509
2013,AUT,0.0313671206915113,0.0219816548390595,0.0727152068630588,0.0999496541659557,104.066414086373,53.4412932967224,50.625120789651,2.8161725070714,0.236140417899907
2014,AUT,0.0293828970036811,0.0177090195113606,0.0721051140648316,0.0942259626269042,103.528973020149,53.3994478275587,50.1295251925899,3.2699226349688,0.201965606271337
