iso2c,country,year,ne.trd.gnfs.zs,ne.exp.gnfs.zs,NE.IMP.GNFS.ZS
BE,Belgium,1975,90.8501180613793,45.4373516940318,45.4127663673475
BE,Belgium,1976,96.1032781185445,48.0481916162093,48.0550865023352
BE,Belgium,1977,94.9763496102847,47.0119767565971,47.9643728536876
BE,Belgium,1978,91.6365514233163,45.2845690333052,46.3519823900111
BE,Belgium,1979,100.831741990439,49.4019856575411,51.4297563328984
BE,Belgium,1980,102.306683920574,49.5947962456052,52.7118876749688
BE,Belgium,1981,109.417686161341,53.4998976962844,55.9177884650568
BE,Belgium,1982,117.06390427629,57.4975713452714,59.566332931019
BE,Belgium,1983,119.509460317824,59.7659885094121,59.7434718084117
BE,Belgium,1984,127.286436050737,63.7408387796952,63.545597271042
BE,Belgium,1985,122.963339106446,61.803226862401,61.1601122440448
BE,Belgium,1986,111.494554813514,56.6858609201343,54.8086938933802
BE,Belgium,1987,109.105628431747,55.2853290114664,53.8202994202806
BE,Belgium,1988,115.55989903239,58.7887407384856,56.7711582939049
BE,Belgium,1989,124.011913158749,62.9040511996159,61.107861959133
BE,Belgium,1990,120.56967271465,60.9713541770479,59.5983185376022
BE,Belgium,1991,117.712773234039,59.601747307917,58.1110259261217
BE,Belgium,1992,114.215711339517,58.1958342713121,56.0198770682048
BE,Belgium,1993,108.201663534969,55.5228054513972,52.6788580835718
BE,Belgium,1994,112.388936950299,57.8158656842799,54.5730712660193
BE,Belgium,1995,115.511365408443,59.487665854818,56.023699553625
BE,Belgium,1996,118.060093802792,60.442784742598,57.6173090601938
BE,Belgium,1997,124.366693263271,63.8967697738669,60.4699234894036
BE,Belgium,1998,123.484495687655,63.3972679385354,60.0872277491198
BE,Belgium,1999,123.99724026107,63.8987249514794,60.0985153095903
BE,Belgium,2000,141.079071496619,71.8575876571322,69.221483839487
BE,Belgium,2001,138.694465221206,71.020368082279,67.6740971389271
BE,Belgium,2002,135.124884981773,70.3147727574309,64.8101122243425
BE,Belgium,2003,131.990312645394,68.5960942765708,63.3942183688236
BE,Belgium,2004,136.037833248748,70.3699698839145,65.6678633648332
BE,Belgium,2005,143.376220942029,73.5212250642736,69.8549958777555
BE,Belgium,2006,147.693901435153,75.7111400434884,71.9827613916644
BE,Belgium,2007,151.163621858795,77.4908365667041,73.6727852920912
BE,Belgium,2008,158.908045084263,79.6959831488997,79.2120619353629
BE,Belgium,2009,136.356757863313,69.3097762464767,67.0469816168365
BE,Belgium,2010,151.100176526737,76.4484573425673,74.6517191841698
BE,Belgium,2011,162.753665660528,81.6355465472349,81.1181191132935
BE,Belgium,2012,163.994977033554,82.3058368243002,81.6891402092541
BE,Belgium,2013,162.218643125169,81.730301131825,80.4883419933435
BE,Belgium,2014,164.698392797959,82.6662277616896,82.0321650362696
BE,Belgium,2015,160.135970889999,80.7811527387195,79.3548181512795
BE,Belgium,2016,164.137137436303,82.7327158648974,81.4044215714051
CZ,Czech Republic,1962,,,
CZ,Czech Republic,1963,,,
CZ,Czech Republic,1964,,,
CZ,Czech Republic,1965,,,
CZ,Czech Republic,1966,,,
CZ,Czech Republic,1967,,,
CZ,Czech Republic,1968,,,
CZ,Czech Republic,1969,,,
CZ,Czech Republic,1970,,,
CZ,Czech Republic,1971,,,
CZ,Czech Republic,1972,,,
CZ,Czech Republic,1973,,,
CZ,Czech Republic,1974,,,
CZ,Czech Republic,1975,,,
CZ,Czech Republic,1976,,,
CZ,Czech Republic,1977,,,
CZ,Czech Republic,1978,,,
CZ,Czech Republic,1979,,,
CZ,Czech Republic,1980,,,
CZ,Czech Republic,1981,,,
CZ,Czech Republic,1982,,,
CZ,Czech Republic,1983,,,
CZ,Czech Republic,1984,,,
CZ,Czech Republic,1985,,,
CZ,Czech Republic,1986,,,
CZ,Czech Republic,1987,,,
CZ,Czech Republic,1988,,,
CZ,Czech Republic,1989,,,
CZ,Czech Republic,1990,63.8063915958096,33.0772640557094,30.7291275401002
CZ,Czech Republic,1991,71.6182599927635,38.6081648918862,33.0100951008773
CZ,Czech Republic,1992,78.8951160454185,40.0459295129956,38.8491865324229
CZ,Czech Republic,1993,79.134572964316,40.1256093924945,39.0089635718215
CZ,Czech Republic,1994,75.6995856021595,37.2718043516157,38.4277812505438
CZ,Czech Republic,1995,83.8949552049328,40.3995847324241,43.4953704725087
CZ,Czech Republic,1996,81.4932504446358,38.3168292873398,43.176421157296
CZ,Czech Republic,1997,85.0741681450944,40.4614736627143,44.6126944823801
CZ,Czech Republic,1998,84.6886095670449,42.2085185863327,42.4800909807123
CZ,Czech Republic,1999,86.2612529248574,42.9203399724494,43.340912952408
CZ,Czech Republic,2000,98.2331208001368,48.1922910591063,50.0408297410306
CZ,Czech Republic,2001,99.3099739945622,49.0279401738654,50.2820338206968
CZ,Czech Republic,2002,91.5259818230906,45.1241477243064,46.4018340987842
CZ,Czech Republic,2003,95.0151972222993,46.9073243423848,48.1078728799145
CZ,Czech Republic,2004,113.868335225069,57.3404444293512,56.5278907957174
